problem_id,description,name,tag,difficulty,try_count,accepted_count
367,"
Score : 300 points


Problem StatementWe have a sequence of N integers A~=~A_0,~A_1,~...,~A_{N - 1}.
Let B be a sequence of K \times N integers obtained by concatenating K copies of A. For example, if A~=~1,~3,~2 and K~=~2, B~=~1,~3,~2,~1,~3,~2.
Find the inversion number of B, modulo 10^9 + 7.
Here the inversion number of B is defined as the number of ordered pairs of integers (i,~j)~(0 \leq i < j \leq K \times N - 1) such that  B_i > B_j.




Constraints
All values in input are integers.
1 \leq N \leq 2000
1 \leq K \leq 10^9
1 \leq A_i \leq 2000







InputInput is given from Standard Input in the following format:
N K
A_0 A_1 ... A_{N - 1}





OutputPrint the inversion number of B, modulo 10^9 + 7.






Sample Input 12 2
2 1





Sample Output 13

In this case, B~=~2,~1,~2,~1. We have:

B_0 > B_1
B_0 > B_3
B_2 > B_3

Thus, the inversion number of B is 3.





Sample Input 23 5
1 1 1





Sample Output 20

A may contain multiple occurrences of the same number.





Sample Input 310 998244353
10 9 8 7 5 6 3 4 2 1





Sample Output 3185297239

Be sure to print the output modulo 10^9 + 7.

",Kleene Inversion,"Bruteforcing, Counting, Prefix sum, Arithmetic, Sorting",0.317,148,41
368,"
Score : 400 points


Problem StatementWe have N+1 integers: 10^{100}, 10^{100}+1, ..., 10^{100}+N.
We will choose K or more of these integers. Find the number of possible values of the sum of the chosen numbers, modulo (10^9+7).




Constraints
1 \leq N \leq 2\times 10^5
1 \leq K \leq N+1
All values in input are integers.







InputInput is given from Standard Input in the following format:
N K





OutputPrint the number of possible values of the sum, modulo (10^9+7).






Sample Input 13 2





Sample Output 110

The sum can take 10 values, as follows:

(10^{100})+(10^{100}+1)=2\times 10^{100}+1
(10^{100})+(10^{100}+2)=2\times 10^{100}+2
(10^{100})+(10^{100}+3)=(10^{100}+1)+(10^{100}+2)=2\times 10^{100}+3
(10^{100}+1)+(10^{100}+3)=2\times 10^{100}+4
(10^{100}+2)+(10^{100}+3)=2\times 10^{100}+5
(10^{100})+(10^{100}+1)+(10^{100}+2)=3\times 10^{100}+3
(10^{100})+(10^{100}+1)+(10^{100}+3)=3\times 10^{100}+4
(10^{100})+(10^{100}+2)+(10^{100}+3)=3\times 10^{100}+5
(10^{100}+1)+(10^{100}+2)+(10^{100}+3)=3\times 10^{100}+6
(10^{100})+(10^{100}+1)+(10^{100}+2)+(10^{100}+3)=4\times 10^{100}+6






Sample Input 2200000 200001





Sample Output 21

We must choose all of the integers, so the sum can take just 1 value.





Sample Input 3141421 35623





Sample Output 3220280457


",Sum of Large Numbers,"Arithmetic, Combinatorics, Bruteforcing, Mathematics",0.681,210,122
369,"
Score : 500 points


Problem StatementFor an integer n not less than 0, let us define f(n) as follows:

f(n) = 1 (if n < 2)
f(n) = n f(n-2) (if n \geq 2)

Given is an integer N. Find the number of trailing zeros in the decimal notation of f(N).




Constraints
0 \leq N \leq 10^{18}







InputInput is given from Standard Input in the following format:
N





OutputPrint the number of trailing zeros in the decimal notation of f(N).






Sample Input 112





Sample Output 11

f(12) = 12 × 10 × 8 × 6 × 4 × 2 = 46080, which has one trailing zero.





Sample Input 25





Sample Output 20

f(5) = 5 × 3 × 1 = 15, which has no trailing zeros.





Sample Input 31000000000000000000





Sample Output 3124999999999999995


",Double Factorial,"Number Theory, Mathematics, Bruteforcing, Implementation",0.406,179,75
370,"
Score : 400 points


Problem StatementTakahashi has a maze, which is a grid of H \times W squares with H horizontal rows and W vertical columns.
The square at the i-th row from the top and the j-th column is a ""wall"" square if S_{ij} is #, and a ""road"" square if S_{ij} is ..
From a road square, you can move to a horizontally or vertically adjacent road square.
You cannot move out of the maze, move to a wall square, or move diagonally.
Takahashi will choose a starting square and a goal square, which can be any road squares, and give the maze to Aoki.
Aoki will then travel from the starting square to the goal square, in the minimum number of moves required.
In this situation, find the maximum possible number of moves Aoki has to make.




Constraints
1 \leq H,W \leq 20
S_{ij} is . or #.
S contains at least two occurrences of ..
Any road square can be reached from any road square in zero or more moves.







InputInput is given from Standard Input in the following format:
H W
S_{11}...S_{1W}
:
S_{H1}...S_{HW}





OutputPrint the maximum possible number of moves Aoki has to make.






Sample Input 13 3
...
...
...





Sample Output 14

If Takahashi chooses the top-left square as the starting square and the bottom-right square as the goal square, Aoki has to make four moves.





Sample Input 23 5
...#.
.#.#.
.#...





Sample Output 210

If Takahashi chooses the bottom-left square as the starting square and the top-right square as the goal square, Aoki has to make ten moves.

",Maze Master,"Graph Traversal, Breadth-first Search, Grid Graph, Shortest Path, Bruteforcing, Array",0.507,136,61
371,"
Score : 700 points


Problem StatementTonight, in your favourite cinema they are giving the movie Joker and all seats are occupied. In the cinema there are N rows with N seats each, forming an N\times N square. We denote with 1, 2,\dots, N the viewers in the first row (from left to right); with N+1, \dots, 2N the viewers in the second row (from left to right); and so on until the last row, whose viewers are denoted by N^2-N+1,\dots, N^2.
At the end of the movie, the viewers go out of the cinema in a certain order: the i-th viewer leaving her seat is the one denoted by the number P_i. The viewer P_{i+1} waits until viewer P_i has left the cinema before leaving her seat.
To exit from the cinema, a viewer must move from seat to seat until she exits the square of seats (any side of the square is a valid exit). A viewer can move from a seat to one of its 4 adjacent seats (same row or same column).
While leaving the cinema, it might be that a certain viewer x goes through a seat currently occupied by viewer y; in that case viewer y will hate viewer x forever. Each viewer chooses the way that minimizes the number of viewers that will hate her forever.
Compute the number of pairs of viewers (x, y) such that y will hate x forever.




Constraints
2 \le N \le 500
The sequence P_1, P_2, \dots, P_{N^2} is a permutation of \{1, 2, \dots, N^2\}.







InputThe input is given from Standard Input in the format
N
P_1 P_2 \cdots P_{N^2}





OutputIf ans is the number of pairs of viewers described in the statement, you should print on Standard Output
ans







Sample Input 13
1 3 7 9 5 4 8 6 2





Sample Output 11

Before the end of the movie, the viewers are arranged in the cinema as follows:
1 2 3
4 5 6
7 8 9

The first four viewers leaving the cinema (1, 3, 7, 9) can leave the cinema without going through any seat, so they will not be hated by anybody.
Then, viewer 5 must go through one of the seats where viewers 2, 4, 6, 8 are currently seated while leaving the cinema; hence he will be hated by at least one of those viewers.
Finally the remaining viewers can leave the cinema (in the order 4, 8, 6, 2) without going through any occupied seat (actually, they can leave the cinema without going through any seat at all).





Sample Input 24
6 7 1 4 13 16 10 9 5 11 12 14 15 2 3 8





Sample Output 23






Sample Input 36
11 21 35 22 7 36 27 34 8 20 15 13 16 1 24 3 2 17 26 9 18 32 31 23 19 14 4 25 10 29 28 33 12 6 5 30





Sample Output 311


",Joker,"Grid Graph, Precomputation, Permutation Cycle Decomposition, Shortest Path, Breadth-first Search, Dynamic Programming, Queue",0.364,68,16
372,"
Score : 400 points


Problem StatementYou have N cards. On the i-th card, an integer A_i is written.
For each j = 1, 2, ..., M in this order, you will perform the following operation once:
Operation: Choose at most B_j cards (possibly zero). Replace the integer written on each chosen card with C_j.
Find the maximum possible sum of the integers written on the N cards after the M operations.




Constraints
All values in input are integers.
1 \leq N \leq 10^5
1 \leq M \leq 10^5
1 \leq A_i, C_i \leq 10^9
1 \leq B_i \leq N







InputInput is given from Standard Input in the following format:
N M
A_1 A_2 ... A_N
B_1 C_1
B_2 C_2
\vdots
B_M C_M





OutputPrint the maximum possible sum of the integers written on the N cards after the M operations.






Sample Input 13 2
5 1 4
2 3
1 5





Sample Output 114

By replacing the integer on the second card with 5, the sum of the integers written on the three cards becomes 5 + 5 + 4 = 14, which is the maximum result.





Sample Input 210 3
1 8 5 7 100 4 52 33 13 5
3 10
4 30
1 4





Sample Output 2338






Sample Input 33 2
100 100 100
3 99
3 99





Sample Output 3300






Sample Input 411 3
1 1 1 1 1 1 1 1 1 1 1
3 1000000000
4 1000000000
3 1000000000





Sample Output 410000000001

The output may not fit into a 32-bit integer type.

",Integer Cards,"Sorting, Greedy Algorithm, Two-pointer, Array, Arithmetic",0.228,478,86
373,"
Score : 400 points


Problem StatementGiven are three integers N, K, and S.
Find a sequence A_1, A_2, ..., A_N of N integers between 1 and 10^9 (inclusive) that satisfies the condition below.
We can prove that, under the conditions in Constraints, such a sequence always exists.

There are exactly K pairs (l, r) of integers such that 1 \leq l \leq r \leq N and A_l + A_{l + 1} + \cdots + A_r = S.





Constraints
1 \leq N \leq 10^5
0 \leq K \leq N
1 \leq S \leq 10^9
All values in input are integers.







InputInput is given from Standard Input in the following format:
N K S





OutputPrint a sequence satisfying the condition, in the following format:
A_1 A_2 ... A_N







Sample Input 14 2 3





Sample Output 11 2 3 4

Two pairs (l, r) = (1, 2) and (3, 3) satisfy the condition in the statement.





Sample Input 25 3 100





Sample Output 250 50 50 30 70


",Subarray Sum,"Greedy Algorithm, Constructive, Array, Mathematics",0.566,96,49
374,"
Score : 300 points


Problem StatementThere is a rectangle in a coordinate plane. The coordinates of the four vertices are (0,0), (W,0), (W,H), and (0,H).
You are given a point (x,y) which is within the rectangle or on its border. We will draw a straight line passing through (x,y) to cut the rectangle into two parts. Find the maximum possible area of the part whose area is not larger than that of the other. Additionally, determine if there are multiple ways to cut the rectangle and achieve that maximum.




Constraints
1 \leq W,H \leq 10^9
0\leq x\leq W
0\leq y\leq H
All values in input are integers.







InputInput is given from Standard Input in the following format:
W H x y





OutputPrint the maximum possible area of the part whose area is not larger than that of the other, followed by 1 if there are multiple ways to cut the rectangle and achieve that maximum, and 0 otherwise.
The area printed will be judged correct when its absolute or relative error is at most 10^{-9}.






Sample Input 12 3 1 2





Sample Output 13.000000 0

The line x=1 gives the optimal cut, and no other line does.





Sample Input 22 2 1 1





Sample Output 22.000000 1


",Rectangle Cutting,"Geometry; 3d, Mathematics, Boolean Operations On Geometric Objects, Arithmetic",0.265,601,151
375,"
Score : 300 points


Problem StatementWe have N switches with ""on"" and ""off"" state, and M bulbs. The switches are numbered 1 to N, and the bulbs are numbered 1 to M.
Bulb i is connected to k_i switches: Switch s_{i1}, s_{i2}, ..., and s_{ik_i}. It is lighted when the number of switches that are ""on"" among these switches is congruent to p_i modulo 2.
How many combinations of ""on"" and ""off"" states of the switches light all the bulbs?




Constraints
1 \leq N, M \leq 10
1 \leq k_i \leq N
1 \leq s_{ij} \leq N
s_{ia} \neq s_{ib} (a \neq b)
p_i is 0 or 1.
All values in input are integers.







InputInput is given from Standard Input in the following format:
N M
k_1 s_{11} s_{12} ... s_{1k_1}
:
k_M s_{M1} s_{M2} ... s_{Mk_M}
p_1 p_2 ... p_M





OutputPrint the number of combinations of ""on"" and ""off"" states of the switches that light all the bulbs.






Sample Input 12 2
2 1 2
1 2
0 1





Sample Output 11


Bulb 1 is lighted when there is an even number of switches that are ""on"" among the following: Switch 1 and 2.
Bulb 2 is lighted when there is an odd number of switches that are ""on"" among the following: Switch 2.

There are four possible combinations of states of (Switch 1, Switch 2): (on, on), (on, off), (off, on) and (off, off). Among them, only (on, on) lights all the bulbs, so we should print 1.





Sample Input 22 3
2 1 2
1 1
1 2
0 0 1





Sample Output 20


Bulb 1 is lighted when there is an even number of switches that are ""on"" among the following: Switch 1 and 2.
Bulb 2 is lighted when there is an even number of switches that are ""on"" among the following: Switch 1.
Bulb 3 is lighted when there is an odd number of switches that are ""on"" among the following: Switch 2.

Switch 1 has to be ""off"" to light Bulb 2 and Switch 2 has to be ""on"" to light Bulb 3, but then Bulb 1 will not be lighted. Thus, there are no combinations of states of the switches that light all the bulbs, so we should print 0.





Sample Input 35 2
3 1 2 5
2 2 3
1 0





Sample Output 38


",Switches,"Bitmask, Enumeration, Arithmetic, Bruteforcing, Bit Set",0.758,157,117
376,"
Score : 400 points


Problem StatementThere is a grid with H horizontal rows and W vertical columns, and there are obstacles on some of the squares.
Snuke is going to choose one of the squares not occupied by an obstacle and place a lamp on it.
The lamp placed on the square will emit straight beams of light in four cardinal directions: up, down, left, and right.
In each direction, the beam will continue traveling until it hits a square occupied by an obstacle or it hits the border of the grid. It will light all the squares on the way, including the square on which the lamp is placed, but not the square occupied by an obstacle.
Snuke wants to maximize the number of squares lighted by the lamp.
You are given H strings S_i (1 \leq i \leq H), each of length W. If the j-th character (1 \leq j \leq W) of S_i is #, there is an obstacle on the square at the i-th row from the top and the j-th column from the left; if that character is ., there is no obstacle on that square.
Find the maximum possible number of squares lighted by the lamp.




Constraints
1 \leq H \leq 2,000
1 \leq W \leq 2,000
S_i is a string of length W consisting of # and ..
. occurs at least once in one of the strings S_i (1 \leq i \leq H).







InputInput is given from Standard Input in the following format:
H W
S_1
:
S_H





OutputPrint the maximum possible number of squares lighted by the lamp.






Sample Input 14 6
#..#..
.....#
....#.
#.#...





Sample Output 18

If Snuke places the lamp on the square at the second row from the top and the second column from the left, it will light the following squares: the first through fifth squares from the left in the second row, and the first through fourth squares from the top in the second column, for a total of eight squares.





Sample Input 28 8
..#...#.
....#...
##......
..###..#
...#..#.
##....#.
#...#...
###.#..#





Sample Output 213


",Lamp,"Dyanmic Programming, Array, Prefix sum, Grid Graph, Data Structure",0.62,127,67
377,"
Score : 400 points


Problem StatementAt an arcade, Takahashi is playing a game called RPS Battle, which is played as follows:

The player plays N rounds of Rock Paper Scissors against the machine. (See Notes for the description of Rock Paper Scissors. A draw also counts as a round.)
Each time the player wins a round, depending on which hand he/she uses, he/she earns the following score (no points for a draw or a loss):
R points for winning with Rock;
S points for winning with Scissors;
P points for winning with Paper.


However, in the i-th round, the player cannot use the hand he/she used in the (i-K)-th round. (In the first K rounds, the player can use any hand.)

Before the start of the game, the machine decides the hand it will play in each round. With supernatural power, Takahashi managed to read all of those hands.
The information Takahashi obtained is given as a string T. If the i-th character of T (1 \leq i \leq N) is r, the machine will play Rock in the i-th round. Similarly, p and s stand for Paper and Scissors, respectively.
What is the maximum total score earned in the game by adequately choosing the hand to play in each round?




NotesIn this problem, Rock Paper Scissors can be thought of as a two-player game, in which each player simultaneously forms Rock, Paper, or Scissors with a hand.

If a player chooses Rock and the other chooses Scissors, the player choosing Rock wins;
if a player chooses Scissors and the other chooses Paper, the player choosing Scissors wins;
if a player chooses Paper and the other chooses Rock, the player choosing Paper wins;
if both players play the same hand, it is a draw.





Constraints
2 \leq N \leq 10^5
1 \leq K \leq N-1
1 \leq R,S,P \leq 10^4
N,K,R,S, and P are all integers.
|T| = N
T consists of r, p, and s.







InputInput is given from Standard Input in the following format:
N K
R S P
T





OutputPrint the maximum total score earned in the game.






Sample Input 15 2
8 7 6
rsrpr





Sample Output 127

The machine will play {Rock, Scissors, Rock, Paper, Rock}.
We can, for example, play {Paper, Rock, Rock, Scissors, Paper} against it to earn 27 points.
We cannot earn more points, so the answer is 27.





Sample Input 27 1
100 10 1
ssssppr





Sample Output 2211






Sample Input 330 5
325 234 123
rspsspspsrpspsppprpsprpssprpsr





Sample Output 34996


",Prediction and Restriction,"Arithmetic, Dyanmic Programming, Greedy Algorithm, String, Array",0.739,124,79
378,"
Score : 300 points


Problem StatementWe will call a string obtained by arranging the characters contained in a string a in some order, an anagram of a.
For example, greenbin is an anagram of beginner. As seen here, when the same character occurs multiple times, that character must be used that number of times.
Given are N strings s_1, s_2, \ldots, s_N. Each of these strings has a length of 10 and consists of lowercase English characters. Additionally, all of these strings are distinct. Find the number of pairs of integers i, j (1 \leq i < j \leq N) such that s_i is an anagram of s_j.




Constraints
2 \leq N \leq 10^5
s_i is a string of length 10.
Each character in s_i is a lowercase English letter.
s_1, s_2, \ldots, s_N are all distinct.







InputInput is given from Standard Input in the following format:
N
s_1
s_2
:
s_N





OutputPrint the number of pairs of integers i, j (1 \leq i < j \leq N) such that s_i is an anagram of s_j.






Sample Input 13
acornistnt
peanutbomb
constraint





Sample Output 11

s_1 = acornistnt is an anagram of s_3 = constraint. There are no other pairs i, j such that s_i is an anagram of s_j, so the answer is 1.





Sample Input 22
oneplustwo
ninemodsix





Sample Output 20

If there is no pair i, j such that s_i is an anagram of s_j, print 0.





Sample Input 35
abaaaaaaaa
oneplustwo
aaaaaaaaba
twoplusone
aaaabaaaaa





Sample Output 34

Note that the answer may not fit into a 32-bit integer type, though we cannot put such a case here.

",Green Bin,"Sorting, Set / Map, Hashing, Combinatorics",0.194,702,177
379,"
Score : 300 points


Problem StatementThere are N cities on a number line. The i-th city is located at coordinate x_i.
Your objective is to visit all these cities at least once.
In order to do so, you will first set a positive integer D.
Then, you will depart from coordinate X and perform Move 1 and Move 2 below, as many times as you like:

Move 1: travel from coordinate y to coordinate y + D.
Move 2: travel from coordinate y to coordinate y - D.

Find the maximum value of D that enables you to visit all the cities.
Here, to visit a city is to travel to the coordinate where that city is located.




Constraints
All values in input are integers.
1 \leq N \leq 10^5
1 \leq X \leq 10^9
1 \leq x_i \leq 10^9
x_i are all different.
x_1, x_2, ..., x_N \neq X







InputInput is given from Standard Input in the following format:
N X
x_1 x_2 ... x_N





OutputPrint the maximum value of D that enables you to visit all the cities.






Sample Input 13 3
1 7 11





Sample Output 12

Setting D = 2 enables you to visit all the cities as follows, and this is the maximum value of such D.

Perform Move 2 to travel to coordinate 1.
Perform Move 1 to travel to coordinate 3.
Perform Move 1 to travel to coordinate 5.
Perform Move 1 to travel to coordinate 7.
Perform Move 1 to travel to coordinate 9.
Perform Move 1 to travel to coordinate 11.






Sample Input 23 81
33 105 57





Sample Output 224






Sample Input 31 1
1000000000





Sample Output 3999999999


",Skip,"Euclidean Algorithm, Bruteforcing, Arithmetic, Mathematics",0.574,261,123
380,"
Score : 100 points


Problem StatementIn this problem, we use the 24-hour clock.
Takahashi gets up exactly at the time H_1 : M_1 and goes to bed exactly at the time H_2 : M_2. (See Sample Inputs below for clarity.)
He has decided to study for K consecutive minutes while he is up.
What is the length of the period in which he can start studying?




Constraints
0 \le H_1, H_2 \le 23
0 \le M_1, M_2 \le 59
The time H_1 : M_1 comes before the time H_2 : M_2.
K \ge 1
Takahashi is up for at least K minutes.
All values in input are integers (without leading zeros).







InputInput is given from Standard Input in the following format:
H_1 M_1 H_2 M_2 K





OutputPrint the length of the period in which he can start studying, as an integer.






Sample Input 110 0 15 0 30





Sample Output 1270

Takahashi gets up at exactly ten in the morning and goes to bed at exactly three in the afternoon.
It takes 30 minutes to do the study, so he can start it in the period between ten o'clock and half-past two. The length of this period is 270 minutes, so we should print 270.





Sample Input 210 0 12 0 120





Sample Output 20

Takahashi gets up at exactly ten in the morning and goes to bed at exactly noon. It takes 120 minutes to do the study, so he has to start it at exactly ten o'clock. Thus, we should print 0.

",Study Scheduling,"Implementation, Arithmetic, Mathematics",0.737,216,150
381,"
Score : 300 points


Problem StatementThere is a grid with infinitely many rows and columns. In this grid, there is a rectangular region with consecutive N rows and M columns, and a card is placed in each square in this region.
The front and back sides of these cards can be distinguished, and initially every card faces up.
We will perform the following operation once for each square contains a card:

For each of the following nine squares, flip the card in it if it exists: the target square itself and the eight squares that shares a corner or a side with the target square.

It can be proved that, whether each card faces up or down after all the operations does not depend on the order the operations are performed.
Find the number of cards that face down after all the operations.




Constraints
1 \leq N,M \leq 10^9
All input values are integers.







InputInput is given from Standard Input in the following format:
N M





OutputPrint the number of cards that face down after all the operations.






Sample Input 12 2





Sample Output 10

We will flip every card in any of the four operations. Thus, after all the operations, all cards face up.





Sample Input 21 7





Sample Output 25

After all the operations, all cards except at both ends face down.





Sample Input 3314 1592





Sample Output 3496080


",Flip Flip  and Flip......,"Arithmetic, Mathematics, Boolean Operations On Geometric Objects",0.206,97,34
382,"
Score : 300 points


Problem StatementWhen l is an odd number, the median of l numbers a_1, a_2, ..., a_l is the (\frac{l+1}{2})-th largest value among a_1, a_2, ..., a_l.
You are given N numbers X_1, X_2, ..., X_N, where N is an even number.
For each i = 1, 2, ..., N, let the median of X_1, X_2, ..., X_N excluding X_i, that is, the median of X_1, X_2, ..., X_{i-1}, X_{i+1}, ..., X_N be B_i.
Find B_i for each i = 1, 2, ..., N.




Constraints
2 \leq N \leq 200000
N is even.
1 \leq X_i \leq 10^9
All values in input are integers.







InputInput is given from Standard Input in the following format:
N
X_1 X_2 ... X_N





OutputPrint N lines.
The i-th line should contain B_i.






Sample Input 14
2 4 4 3





Sample Output 14
3
3
4


Since the median of X_2, X_3, X_4 is 4, B_1 = 4.
Since the median of X_1, X_3, X_4 is 3, B_2 = 3.
Since the median of X_1, X_2, X_4 is 3, B_3 = 3.
Since the median of X_1, X_2, X_3 is 4, B_4 = 4.






Sample Input 22
1 2





Sample Output 22
1






Sample Input 36
5 5 4 4 3 3





Sample Output 34
4
4
4
4
4


",Many Medians,"Sorting, Array, Boolean Operations On Geometric Objects",0.474,202,91
383,"
Score : 400 points


Problem StatementFor an integer N, we will choose a permutation \{P_1, P_2, ..., P_N\} of \{1, 2, ..., N\}.
Then, for each i=1,2,...,N, let M_i be the remainder when i is divided by P_i.
Find the maximum possible value of M_1 + M_2 + \cdots + M_N.




Constraints
N is an integer satisfying 1 \leq N \leq 10^9.







InputInput is given from Standard Input in the following format:
N





OutputPrint the maximum possible value of M_1 + M_2 + \cdots + M_N.






Sample Input 12





Sample Output 11

When the permutation \{P_1, P_2\} = \{2, 1\} is chosen, M_1 + M_2 = 1 + 0 = 1.





Sample Input 213





Sample Output 278






Sample Input 31





Sample Output 30


",ModSum,"Mathematics, Permutation Cycle Decomposition, Arithmetic",0.404,389,174
384,"
Score : 400 points


Problem StatementSnuke has one biscuit and zero Japanese yen (the currency) in his pocket.
He will perform the following operations exactly K times in total, in the order he likes:

Hit his pocket, which magically increases the number of biscuits by one.
Exchange A biscuits to 1 yen.
Exchange 1 yen to B biscuits.

Find the maximum possible number of biscuits in Snuke's pocket after K operations.




Constraints
1 \leq K,A,B \leq 10^9
K,A and B are integers.







InputInput is given from Standard Input in the following format:
K A B





OutputPrint the maximum possible number of biscuits in Snuke's pocket after K operations.






Sample Input 14 2 6





Sample Output 17

The number of biscuits in Snuke's pocket after K operations is maximized as follows:

Hit his pocket. Now he has 2 biscuits and 0 yen.
Exchange 2 biscuits to 1 yen. his pocket. Now he has 0 biscuits and 1 yen.
Hit his pocket. Now he has 1 biscuits and 1 yen.
Exchange 1 yen to 6 biscuits. his pocket. Now he has 7 biscuits and 0 yen.






Sample Input 27 3 4





Sample Output 28






Sample Input 3314159265 35897932 384626433





Sample Output 348518828981938099


",When I hit my pocket...,"Greedy Algorithm, Arithmetic, Boolean Operations On Geometric Objects",0.667,88,53
385,"
Score : 200 points


Problem StatementWe will call a string that can be obtained by concatenating two equal strings an even string.
For example, xyzxyz and aaaaaa are even, while ababab and xyzxy are not.
You are given an even string S consisting of lowercase English letters.
Find the length of the longest even string that can be obtained by deleting one or more characters from the end of S.
It is guaranteed that such a non-empty string exists for a given input.




Constraints
2 \leq |S| \leq 200
S is an even string consisting of lowercase English letters.
There exists a non-empty even string that can be obtained by deleting one or more characters from the end of S.







InputInput is given from Standard Input in the following format:
S





OutputPrint the length of the longest even string that can be obtained.






Sample Input 1abaababaab





Sample Output 16


abaababaab itself is even, but we need to delete at least one character.
abaababaa is not even.
abaababa is not even.
abaabab is not even.
abaaba is even. Thus, we should print its length, 6.






Sample Input 2xxxx





Sample Output 22


xxx is not even.
xx is even.






Sample Input 3abcabcabcabc





Sample Output 36

The longest even string that can be obtained is abcabc, whose length is 6.





Sample Input 4akasakaakasakasakaakas





Sample Output 414

The longest even string that can be obtained is akasakaakasaka, whose length is 14.

",ss,"String, Bruteforcing, Greedy Algorithm, Two-pointer",0.75,208,118
386,"
Score : 300 points


Problem StatementIn AtCoder, a person who has participated in a contest receives a color, which corresponds to the person's rating as follows:  

Rating 1-399 : gray
Rating 400-799 : brown
Rating 800-1199 : green
Rating 1200-1599 : cyan
Rating 1600-1999 : blue
Rating 2000-2399 : yellow
Rating 2400-2799 : orange
Rating 2800-3199 : red

Other than the above, a person whose rating is 3200 or higher can freely pick his/her color, which can be one of the eight colors above or not.
Currently, there are N users who have participated in a contest in AtCoder, and the i-th user has a rating of a_i.
Find the minimum and maximum possible numbers of different colors of the users.  




Constraints
1 ≤ N ≤ 100
1 ≤ a_i ≤ 4800
a_i is an integer.







InputInput is given from Standard Input in the following format:
N
a_1 a_2 ... a_N





OutputPrint the minimum possible number of different colors of the users, and the maximum possible number of different colors, with a space in between.  






Sample Input 14
2100 2500 2700 2700





Sample Output 12 2

The user with rating 2100 is ""yellow"", and the others are ""orange"". There are two different colors.  





Sample Input 25
1100 1900 2800 3200 3200





Sample Output 23 5

The user with rating 1100 is ""green"", the user with rating 1900 is blue and the user with rating 2800 is ""red"".
If the fourth user picks ""red"", and the fifth user picks ""blue"", there are three different colors. This is one possible scenario for the minimum number of colors.
If the fourth user picks ""purple"", and the fifth user picks ""black"", there are five different colors. This is one possible scenario for the maximum number of colors.  





Sample Input 320
800 810 820 830 840 850 860 870 880 890 900 910 920 930 940 950 960 970 980 990





Sample Output 31 1

All the users are ""green"", and thus there is one color.

",Colorful Leaderboard,"Bruteforcing, Implementation, Counting, Set / Map, Arithmetic",0.12,453,126
387,"
Score : 100 points


Problem StatementYou are given integers A and B, each between 1 and 3 (inclusive).
Determine if there is an integer C between 1 and 3 (inclusive) such that A \times B \times C is an odd number.




Constraints
All values in input are integers.
1 \leq A, B \leq 3







InputInput is given from Standard Input in the following format:
A B





OutputIf there is an integer C between 1 and 3 that satisfies the condition, print Yes; otherwise, print No.






Sample Input 13 1





Sample Output 1Yes

Let C = 3. Then, A \times B \times C = 3 \times 1 \times 3 = 9, which is an odd number.





Sample Input 21 2





Sample Output 2No






Sample Input 32 2





Sample Output 3No


",ABC333,"Bruteforcing, Arithmetic, Implementation",0.737,281,175
388,"
Score : 100 points


Problem StatementCat Snuke is learning to write characters.
Today, he practiced writing digits 1 and 9, but he did it the other way around.
You are given a three-digit integer n written by Snuke.
Print the integer obtained by replacing each digit 1 with 9 and each digit 9 with 1 in n.




Constraints
111 \leq n \leq 999
n is an integer consisting of digits 1 and 9.







InputInput is given from Standard Input in the following format:
n





OutputPrint the integer obtained by replacing each occurrence of 1 with 9 and each occurrence of 9 with 1 in n.






Sample Input 1119





Sample Output 1991

Replace the 9 in the ones place with 1, the 1 in the tens place with 9 and the 1 in the hundreds place with 9. The answer is 991.





Sample Input 2999





Sample Output 2111


",AtCoder Beginner Contest 999,"String, Bruteforcing, Implementation, Array",0.839,206,150
389,"
﻿Score: 100 points


Problem Statement
In 2020, AtCoder Inc. with an annual sales of more than one billion yen (the currency of Japan) has started a business in programming education.
One day, there was an exam where a one-year-old child must write a program that prints Hello World, and a two-year-old child must write a program that receives integers A, B and prints A+B.
Takahashi, who is taking this exam, suddenly forgets his age.
He decides to write a program that first receives his age N (1 or 2) as input, then prints Hello World if N=1, and additionally receives integers A, B and prints A+B if N=2.
Write this program for him.  




Constraints

N is 1 or 2.
A is an integer between 1 and 9 (inclusive).
B is an integer between 1 and 9 (inclusive).







Input
Input is given from Standard Input in one of the following formats:  
1

2
A
B





Output
If N=1, print Hello World; if N=2, print A+B.  






Sample Input 11





Sample Output 1Hello World

As N=1, Takahashi is one year old. Thus, we should print Hello World.





Sample Input 22
3
5





Sample Output 28

As N=2, Takahashi is two years old. Thus, we should print A+B, which is 8 since A=3 and B=5. 

",Programming Education,"Implementation, Arithmetic",0.791,283,170
390,"
Score: 100 points


Problem StatementThere is a train going from Station A to Station B that costs X yen (the currency of Japan).
Also, there is a bus going from Station B to Station C that costs Y yen.
Joisino got a special ticket. With this ticket, she can take the bus for half the fare if she travels from Station A to Station B by train and then travels from Station B to Station C by bus.
How much does it cost to travel from Station A to Station C if she uses this ticket?




Constraints
1 \leq X,Y \leq 100
Y is an even number.
All values in input are integers.







InputInput is given from Standard Input in the following format:
X Y





OutputIf it costs x yen to travel from Station A to Station C, print x.






Sample Input 181 58





Sample Output 1110


The train fare is 81 yen.
The train fare is 58 ⁄ 2=29 yen with the 50% discount.

Thus, it costs 110 yen to travel from Station A to Station C.





Sample Input 24 54





Sample Output 231


",Discount Fare,Arithmetic,0.874,237,172
